Video Reaction,Video Comments
0.993333,0.00817132
0.97417,0
0.997835,0.0296586
0.996139,0.0144686
0.833333,0.00361513
0.880597,0.00361412
0.97861,0.00663167
0.993464,0.00743597
0.965517,0.00577717
0.981818,0.0010989
0.99375,0.00548998
0.444444,0.000271444
0.846154,0
0.995763,0.0289424
0.863636,0.000270343
0.925926,0.00161769
0.878788,0.00913733
0.166667,0.00348806
0.992857,0.011245
0.95122,0
0.997167,0.00905218
0.973684,0.00131996
0.985915,0.0015827
0.85,0.00184356
0.993671,0.0094687
0.981395,0.0291415
0.995238,0.0478181
0.933735,0.0124773
0.97026,0.00362506
0.98773,0.00569064
0.957143,0.0165289
0.843137,0.0110796
0.953846,0.00901365
0.970588,0.00128469
0.714286,0.0233813
0.777778,0.00512558
0.990741,0.0176606
0.858974,0.000766871
0.941176,0.00613183
0.997106,0.0226752
0.683761,0.00407539
0.890244,0.0175127
0.973545,0.00507485
0.975207,0.00961538
0.991228,0
0.9625,0.016129
0.961538,0.00376223
0.882353,0.00425425
0.875,0.00650325
0.864583,0.0234414
0.896552,0.00919712
0.956044,0.00792079
0.863636,0
0.975309,0.00419236
0.75,0.00147893
0.981752,0.106906
0.984375,0.0024558
0.991379,0.00244918
0.957983,0.00756098
0.887097,0
0.990268,0.0554755
0.808511,0.000239981
0.884956,0.00407088
0.964912,0.0237417
0.828358,0.0104364
0.994521,0.00472813
0.924528,0.00094518
0.992126,0.00188991
0.984444,0.0795481
0.984848,0.0124589
0.994681,0.00915063
0.981132,0.00163132
0.988072,0.0672173
0.6,0.000686028
0.951456,0
0.5,0.000227998
0.938776,0.00157587
0.965812,0.00355793
0.958763,0.0299534
0.862745,0.00198939
0.954198,0.010582
0.909091,0
0.993103,0.00638626
0.962567,0.0103319
0.994709,0.00614709
0.62963,0.00153173
0.953704,0.0124291
0.982379,0.0164931
0.991379,0.0755124
0.993056,0.0534794
0.998043,0.0716412
0.785714,0.000422476
0.997368,0.0472674
0.916667,0.00126502
0.979381,0.0086334
0.993939,0.0380332
0.989011,0.000839102
0.942857,0.00188482
0.945946,0.0010469
0.923077,0.00373754
0.989384,0.0415196
0.988235,0.00227932
0.979899,0.0173697
0.982143,0.00227273
0.958333,0.00123916
0.956522,0.000206186
0.994434,0.00884228
0.794872,0.0104852
0.987705,0.0450247
0.984252,0.0137464
0.333333,0.000204918
0.866071,0.00511457
0.983333,0.0192972
0.987654,0.00202593
0.711111,0.0133657
0.926829,0.00505459
0.990291,0.00262626
0.994253,0.00302847
0.977169,0.00706642
0.790698,0.0187236
0.956522,0.000201045
0.993789,0.00723327
0.888889,0.000199481
0.978723,0.0127515
0.9875,0.0147381
0.846154,0.000199124
0.885246,0
0.945946,0.00119237
0.982946,0.103298
0.948515,0.0178218
0.934343,0.0417822
0.696429,0
0.960894,0.0100394
0.995238,0.00372841
0.990066,0.00861731
0.944444,0.00528583
0.985,0.0205439
0.985714,0.00723787
0.932515,0.00290698
0.213483,0.01433
0.988691,0.0402633
0.995699,0.0417876
0.989796,0.0044393
0.990868,0.025
0.986254,0.0353642
0.928571,0
0.996183,0.0135911
0.984762,0.0439267
0.985915,0.00343119
0.980392,0.0009522
0.979866,0.0382793
0.875,0.00871377
0.822581,0.00303088
0.929515,0.00869894
0.722222,0.00810251
0.968,0.00376506
0.970149,0.00432656
0.992908,0.00827534
0.952381,0.000564122
0.883117,0.00411292
0.989583,0.0291317
0.987952,0.005027
0.997163,0.038347
0.777778,0.000185667
0.638889,0.0049605
0.997067,0.0308597
0.990291,0.0104606
0.966667,0.00421168
0.928571,0.000366032
0.988275,0.0399854
0.685714,0
0.983573,0.042956
0.920635,0.00472641
0.995838,0.0119457
0.993631,0.00304878
0.95,0.00179083
0.967742,0.00911528
0.852941,0.000893495
0.996198,0.03197
0.985019,0.0478059
0.982639,0.011392
0.983229,0.0166372
0.994949,0.0560368
0.942408,0.00388693
0.988971,0.0199647
0.913043,0
0.976,0.0449596
0.981308,0.00893796
0.673913,0.0113597
0.334842,0.0177083
0.806452,0.00641248
0.866667,0.00380557
0.584746,0.0511412
0.995575,0.0077187
0.968254,0.00479534
0.993007,0.0120872
0.906593,0.0129274
0.875,0.00985724
0.954545,0.0042187
0.981308,0.00252101
0.769231,0.00318792
0.959184,0.00218011
0.852941,0
0.880734,0.0174234
0.981735,0.00502176
0.666667,0.00234035
0.997059,0.0258592
0.925,0.0141525
0.956989,0.00682537
0.94382,0.00858369
0.584615,0.0337727
0.981132,0.00296492
0.983607,0.000658436
0.74359,0.0328731
0.986585,0.0318855
0.975806,0.00309044
0.973214,0.00292731
0.968254,0.0156072
0.878788,0.00534673
0.658824,0.00873362
0.545455,0.000969932
0.984848,0.00467968
0.931034,0.00161342
0.996234,0.0193424
0.916667,0.00144788
0.823529,0.000481078
0.993333,0.00207801
0.96875,0.0023954
0.957447,0.00319183
0.650602,0.00524476
0.590909,0
0.918367,0.00237342
0.983425,0.00236967
0.990521,0.0348126
0.981221,0.0156421
